model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,alpha,theta
SOCP,500,MOSEK,0.329540164107406,4.849272869919858,25.749278156205822,0.24495046138763427,0.2518229166666667,238,converged,3.0345314742092353,3.0345314742092353,1.0,2369.417133252141
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,5.6065250032326555,30.608334941522727,0.21421077648798625,0.34088541666666666,100,converged,3.0345314742092353,3.0345314742092353,1.0,2369.417133252141
SOCP,500,MOSEK,0.329540164107406,1.8796503418776653,9.114378329286398,0.24476199944814045,0.23697916666666666,58,converged,3.0345314742092353,3.0345314742092353,1.0,9.208381267966473
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.8796496936563158,9.114378319562153,0.22667237520217895,0.365625,58,converged,3.0345314742092353,3.0345314742092353,1.0,9.208381267966473
SOCP,500,MOSEK,0.329540164107406,1.8596374679627286,8.846594683058843,0.24581394592920938,0.23776041666666667,55,converged,3.0345314742092353,3.0345314742092353,1.0,0.10859671975993608
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.8596418333974807,8.846595139162659,0.2234686772028605,0.36171875,55,converged,3.0345314742092353,3.0345314742092353,1.0,0.10859671975993608
SOCP,500,MOSEK,0.329540164107406,1.8594615131447794,8.843018926875365,0.24332393805185953,0.23802083333333332,55,converged,3.0345314742092353,3.0345314742092353,1.0,0.00042204472398131565
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.8594355790373753,8.843018454532125,0.2347254991531372,0.378125,55,converged,3.0345314742092353,3.0345314742092353,1.0,0.00042204472398131565
SOCP,500,MOSEK,0.329540164107406,4.335676269349205,19.55062594934329,0.24471835295359293,0.23828125,278,converged,1.0,1.0,1.0,2369.417133252141
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,5.522993796551533,25.8475623344546,0.32527997096379596,0.4940104166666667,97,converged,1.0,1.0,1.0,2369.417133252141
SOCP,500,MOSEK,0.329540164107406,1.2069304513308143,4.154074171442396,0.24779879252115886,0.23880208333333333,97,converged,1.0,1.0,1.0,9.208381267966473
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.2069465647532678,4.1540751437058745,0.3827785094579061,0.55625,97,converged,1.0,1.0,1.0,9.208381267966473
SOCP,500,MOSEK,0.329540164107406,1.1757077352447551,3.8892383927561087,0.2439230998357137,0.2359375,85,converged,1.0,1.0,1.0,0.10859671975993608
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.1757327889931448,3.8892401606180953,0.3063865383466085,0.4635416666666667,84,converged,1.0,1.0,1.0,0.10859671975993608
SOCP,500,MOSEK,0.329540164107406,1.1756149358161045,3.8853019690658113,0.2449623703956604,0.23619791666666667,84,converged,1.0,1.0,1.0,0.00042204472398131565
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,1.1756692656529155,3.8853027927030555,0.3111534039179484,0.45989583333333334,84,converged,1.0,1.0,1.0,0.00042204472398131565
SOCP,500,MOSEK,0.329540164107406,4.154843821878706,17.32773148796206,0.24554789066314697,0.23723958333333334,297,converged,0.329540164107406,0.329540164107406,1.0,2369.417133252141
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,5.351215620675839,24.235587929142504,0.2562076767285665,0.4088541666666667,95,converged,0.329540164107406,0.329540164107406,1.0,2369.417133252141
SOCP,500,MOSEK,0.329540164107406,0.7742488292318574,2.138173692023988,0.24082956314086915,0.23125,130,converged,0.329540164107406,0.329540164107406,1.0,9.208381267966473
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,0.7774237216447322,2.138729557790335,0.48160715103149415,0.6747395833333333,122,converged,0.329540164107406,0.329540164107406,1.0,9.208381267966473
SOCP,500,MOSEK,0.329540164107406,0.7172507884998036,1.876054160371626,0.2405428131421407,0.23359375,116,converged,0.329540164107406,0.329540164107406,1.0,0.10859671975993608
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,0.7172589749959846,1.876054845100447,0.4841667572657267,0.6817708333333333,116,converged,0.329540164107406,0.329540164107406,1.0,0.10859671975993608
SOCP,500,MOSEK,0.329540164107406,0.7169817511152807,1.8718979695850075,0.24055827856063844,0.23541666666666666,116,converged,0.329540164107406,0.329540164107406,1.0,0.00042204472398131565
