model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,lambda,alpha,theta
SOCP,500,MOSEK,0.329540164107406,4.062000813879233,62.35088615317389,0.2506633043289185,0.26510416666666664,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
CG_LASSO,500,MOSEK,0.329540164107406,4.061266754229205,62.33975329532241,0.03922090927759806,0.12473958333333333,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
CG_LASSO_v2,500,MOSEK,0.329540164107406,4.061266626693151,62.33975343523432,0.03989630142847697,0.1234375,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,4.061266848047636,62.339753203898084,0.15798141558965048,0.2565104166666667,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,1.85999706963236,8.853861831531795,0.24509511788686117,0.23541666666666666,56,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
CG_LASSO,500,MOSEK,0.329540164107406,1.859452021112822,8.84300389646384,0.0557556947072347,0.15911458333333334,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
CG_LASSO_v2,500,MOSEK,0.329540164107406,1.8594680276639446,8.84300516396561,0.05556046962738037,0.16197916666666667,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,1.859465892668879,8.843004796892496,0.22658616304397583,0.3546875,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,1.1758697061743113,3.897197723868267,0.24293220043182373,0.23567708333333334,87,converged,1.0,1.0,1.0,1.0,0.329540164107406
CG_LASSO,500,MOSEK,0.329540164107406,1.1756721838597946,3.885287728859865,0.0731463352839152,0.19713541666666667,83,converged,1.0,1.0,1.0,1.0,0.329540164107406
CG_LASSO_v2,500,MOSEK,0.329540164107406,1.175669857065579,3.885287890805733,0.07435228824615478,0.19244791666666666,83,converged,1.0,1.0,1.0,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,1.175661900597955,3.885287426522007,0.3121485153834025,0.45260416666666664,84,converged,1.0,1.0,1.0,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,0.7179555449577402,1.8844063608776898,0.268911878267924,0.2515625,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
CG_LASSO,500,MOSEK,0.329540164107406,0.716974643941005,1.871881536981014,0.10099163055419921,0.20859375,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
CG_LASSO_v2,500,MOSEK,0.329540164107406,0.7169782832643359,1.871881751928099,0.10518991152445475,0.20260416666666667,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,0.7169814798543019,1.8718816476332927,0.41150079170862836,0.57421875,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,0.3790132751420136,0.6272964418628216,0.24816515445709228,0.24166666666666667,206,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
CG_LASSO,500,MOSEK,0.329540164107406,0.37546852260598357,0.6114025801596292,0.2084523876508077,0.41901041666666666,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
CG_LASSO_v2,500,MOSEK,0.329540164107406,0.3754685825734493,0.6114025784860155,0.2104350765546163,0.43020833333333336,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
