Symbol,Company Name,"Industry<path fill-rule=""evenodd"" d=""M14.707 12.707a1 1 0 01-1.414 0L10 9.414l-3.293 3.293a1 1 0 01-1.414-1.414l4-4a1 1 0 011.414 0l4 4a1 1 0 010 1.414z"" clip-rule=""evenodd"">",Market Cap
ADV,Advantage Solutions,Advertising Agencies,2.81B
BAOS,Baosheng Media Group,Advertising Agencies,45.94M
CPOP,Pop Culture Group,Advertising Agencies,75.13M
DMS,Digital Media Solutions,Advertising Agencies,410.93M
IAS,Integral Ad Science Holding,Advertising Agencies,3.55B
STGW,Stagwell,Advertising Agencies,2.56B
TRKA,Troika Media Group,Advertising Agencies,90.20M
TRMR,Tremor International,Advertising Agencies,1.49B
WIMI,WiMi Hologram Cloud,Advertising Agencies,473.28M
AIR,AAR Corp.,Aerospace & Defense,1.29B
AIRI,Air Industries Group,Aerospace & Defense,34.00M
AJRD,Aerojet Rocketdyne,Aerospace & Defense,3.59B
ARNC,Arconic,Aerospace & Defense,3.34B
ASTC,Astrotech,Aerospace & Defense,52.91M
ASTR,Astra Space,Aerospace & Defense,2.58B
ATRO,Astronics Corporation,Aerospace & Defense,419.40M
AVAV,AeroVironment,Aerospace & Defense,2.27B
AXON,Axon Enterprise,Aerospace & Defense,11.87B
BA,Boeing,Aerospace & Defense,126.11B
BWXT,BWX Technologies,Aerospace & Defense,5.48B
BYRN,Byrna Technologies,Aerospace & Defense,385.85M
CAE,CAE Inc.,Aerospace & Defense,9.74B
CVU,CPI Aerostructures,Aerospace & Defense,39.70M
CW,Curtiss-Wright,Aerospace & Defense,5.25B
DCO,Ducommun,Aerospace & Defense,596.02M
DPRO,Draganfly,Aerospace & Defense,120.85M
EH,EHang Holdings,Aerospace & Defense,1.40B
ERJ,Embraer,Aerospace & Defense,2.91B
ESLT,Elbit Systems,Aerospace & Defense,6.95B
GD,General Dynamics,Aerospace & Defense,56.37B
HEI,HEICO Corporation,Aerospace & Defense,17.56B
HEI.A,HEICO Corporation,Aerospace & Defense,17.58B
HII,Huntington Ingalls Industries,Aerospace & Defense,8.11B
HWM,Howmet Aerospace,Aerospace & Defense,13.08B
HXL,Hexcel Corporation,Aerospace & Defense,4.95B
ISSC,Innovative Solutions & Support,Aerospace & Defense,117.45M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,2.80B
LHX,L3Harris Technologies,Aerospace & Defense,44.48B
LILM,Lilium,Aerospace & Defense,2.73B
LMT,Lockheed Martin,Aerospace & Defense,91.27B
MAXR,Maxar Technologies,Aerospace & Defense,1.96B
MICT,"MICT, Inc.",Aerospace & Defense,170.08M
MNTS,Momentus,Aerospace & Defense,839.73M
MOG.A,Moog Inc.,Aerospace & Defense,2.45B
MOG.B,Moog Inc.,Aerospace & Defense,2.46B
MRCY,Mercury Systems,Aerospace & Defense,2.99B
NOC,Northrop Grumman,Aerospace & Defense,56.26B
NPK,National Presto Industries,Aerospace & Defense,594.14M
PKE,Park Aerospace,Aerospace & Defense,273.12M
PSN,Parsons,Aerospace & Defense,3.63B
RADA,RADA Electronic Industries,Aerospace & Defense,520.63M
RDW,Redwire,Aerospace & Defense,758.89M
RKLB,Rocket Lab USA,Aerospace & Defense,6.40B
RTX,Raytheon Technologies,Aerospace & Defense,132.54B
SGLB,Sigma Labs,Aerospace & Defense,31.50M
SIF,SIFCO Industries,Aerospace & Defense,48.32M
SPCE,Virgin Galactic,Aerospace & Defense,5.03B
SPR,Spirit AeroSystems,Aerospace & Defense,4.56B
TATT,TAT Technologies,Aerospace & Defense,58.27M
TDG,TransDigm Group,Aerospace & Defense,34.75B
TDY,Teledyne Technologies,Aerospace & Defense,21.03B
TGI,Triumph Group,Aerospace & Defense,1.39B
TXT,Textron,Aerospace & Defense,16.44B
VEC,Vectrus,Aerospace & Defense,581.55M
VTSI,VirTra,Aerospace & Defense,88.49M
BHIL,Benson Hill,Agricultural Inputs,1.08B
SVFD,Save Foods,Agricultural Inputs,18.98M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.42B
AIRT,Air T,Air Freight & Logistics,76.48M
ATSG,Air Transport Services Group,Air Freight & Logistics,1.86B
BEST,BEST Inc.,Air Freight & Logistics,509.07M
CHRW,C.H. Robinson,Air Freight & Logistics,12.64B
ECHO,Echo Global Logistics,Air Freight & Logistics,1.28B
EXPD,Expeditors International,Air Freight & Logistics,21.38B
FDX,FedEx,Air Freight & Logistics,62.60B
FWRD,Forward Air,Air Freight & Logistics,2.85B
HUBG,Hub Group,Air Freight & Logistics,2.81B
RLGT,Radiant Logistics,Air Freight & Logistics,353.42M
UPS,United Parcel Service,Air Freight & Logistics,183.70B
XPO,XPO Logistics,Air Freight & Logistics,9.96B
ZTO,ZTO Express (Cayman) Inc.,Air Freight & Logistics,25.22B
AAL,American Airlines,Airlines,12.80B
ALGT,Allegiant Travel,Airlines,3.23B
ALK,Alaska Air Group,Airlines,6.86B
AZUL,Azul S.A.,Airlines,1.67B
CEA,China Eastern Airlines,Airlines,10.39B
CPA,Copa Holdings,Airlines,3.18B
DAL,Delta Air Lines,Airlines,25.87B
GOL,GOL Linhas Aereas Inteligentes,Airlines,1.16B
HA,Hawaiian Holdings,Airlines,1.03B
JBLU,JetBlue Airways,Airlines,4.65B
LUV,Southwest Airlines,Airlines,29.08B
MESA,Mesa Air Group,Airlines,280.31M
RYAAY,Ryanair Holdings,Airlines,26.25B
SAVE,Spirit Airlines,Airlines,2.48B
SKYW,Sky West,Airlines,2.20B
SNCY,Sun Country Airlines Holdings,Airlines,1.80B
UAL,United Airlines,Airlines,15.56B
ULCC,Frontier Group Holdings,Airlines,3.45B
VLRS,Controladora Vuela Compania de Aviacion,Airlines,2.16B
ZNH,China Southern Airlines,Airlines,15.47B
ASLE,AerSale,Airports & Air Services,1.02B
BLDE,Blade Air Mobility,Airports & Air Services,692.19M
JOBY,Joby Aviation,Airports & Air Services,5.73B
UP,Wheels Up,Airports & Air Services,1.81B
FIGS,FIGS,Apparel Manufacturing,5.56B
CURV,Torrid Holdings,Apparel Retail,1.77B
DBGI,Digital Brands Group,Apparel Retail,48.24M
ONON,On Holding,Apparel Retail,12.24B
VSCO,Victoria's Secret & Co.,Apparel Retail,4.40B
BUR,Burford Capital,Asset Management,2.34B
CCAP,Crescent Capital BDC,Asset Management,558.84M
CET,Central Securities,Asset Management,1.15B
CION,CĪON Investment,Asset Management,1.44B
CIXX,CI Financial,Asset Management,4.60B
FCRD,First Eagle Alternative Capital,Asset Management,142.72M
FHI,Federated Hermes,Asset Management,3.37B
GCMG,GCM Grosvenor,Asset Management,496.38M
JXN,Jackson Financial,Asset Management,2.58B
LGHL,Lion Group Holding,Asset Management,81.48M
LRFC,Logan Ridge Finance,Asset Management,68.45M
OCCI,OFS Credit Company,Asset Management,110.12M
OWL,Blue Owl Capital,Asset Management,6.28B
PAX,Patria Investments,Asset Management,2.48B
STEP,StepStone Group,Asset Management,2.50B
TRIN,Trinity Capital,Asset Management,435.50M
